state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_AZ;enrollmetric;pp_stloc_raw_AZ;pp_fed_raw_AZ;pp_total_raw_AZ;schoolstloc_raw_AZ;schoolfed_raw_AZ;schooltot_raw_AZ;countenroll;noaudit;nositecen;adfinvars;distflex;ppperfed_raw_AZ;ppperstloc_raw_AZ;ppnonperfed_raw_AZ;ppnonperstloc_raw_AZ;pppersonnel_raw_AZ;ppnonpersonnel_raw_AZ;flag_NERDS
AZ;2018-2019;88334;88335;American Charter Schools Foundation d.b.a. South Ridge High School;South Ridge High School;0400447;040044702671;427; 09-12;4;427;October Count Day;7642,18166;1165,946536;8808,128197;3263211,569;497859,1709;3761070,74;1;1;1;1;0;838,5322891;3924,711234;327,414247;3717,470427;4763,243523;4044,884674;0
AZ;2018-2019;79877;6347;American Charter Schools Foundation d.b.a. Sun Valley High School;Sun Valley High School;0400354;040035401733;447; 09-12;4;447;October Count Day;7512,932989;1227,753549;8740,686538;3358281,046;548805,8366;3907086,883;1;1;1;1;0;1121,167337;3778,459653;106,586213;3734,473336;4899,626989;3841,059549;0
AZ;2018-2019;79879;6348;American Charter Schools Foundation d.b.a. West Phoenix High School;West Phoenix High School;0400355;040035501734;410; 09-12;4;410;October Count Day;8357,274323;1582,86895;9940,143274;3426482,473;648976,2696;4075458,742;1;1;1;1;0;1321,227979;4111,606395;261,6409716;4245,667929;5432,834373;4507,3089;0
AZ;2018-2019;6365;88201;American Heritage Academy;American Heritage Academy - Camp Verde;0400130;040013002569;142; KG-08;3;142;October Count Day;9468,62655;797,4625243;10266,08907;1344544,97;113239,6784;1457784,648;1;1;1;1;0;713,4568062;6900,156896;84,00571813;2568,469654;7613,613702;2652,475372;0
AZ;2018-2019;6365;6366;American Heritage Academy;American Heritage Academy - Cottonwood;0400130;040013001803;282; KG-12;4;282;October Count Day;7371,165943;492,3092263;7863,475169;2078668,796;138831,2018;2217499,998;1;1;1;1;0;433,3333276;5888,044749;58,97589875;1483,121193;6321,378077;1542,097092;0
AZ;2018-2019;4348;91778;American Leadership Academy, Inc.;ALA Mesa;0400112;040011203340;477; KG-06;2;477;October Count Day;7372,267075;110,9720339;7483,239108;3516571,395;52933,66017;3569505,055;1;1;1;1;0;106,3797488;5162,654255;4,592285122;2209,612819;5269,034004;2214,205104;0
AZ;2018-2019;4348;91173;American Leadership Academy, Inc.;ALA San Tan;0400112;040011203279;726; KG-06;2;726;October Count Day;6894,185803;651,0951413;7545,280944;5005178,893;472695,0726;5477873,966;1;1;1;1;0;323,1723503;4679,643305;327,922791;2214,542498;5002,815655;2542,465289;0
AZ;2018-2019;4348;5522;American Leadership Academy, Inc.;American Leadership Academy;0400112;040011201595;630; KG-06;2;630;October Count Day;7126,610973;89,17849533;7215,789469;4489764,913;56182,45206;4545947,365;1;1;1;1;0;84,18677457;5021,207083;4,991720759;2105,403891;5105,393857;2110,395611;0
AZ;2018-2019;4348;92885;American Leadership Academy, Inc.;American Leadership Academy - Ironwood;0400112;040011203475;2291; KG-12;4;2291;October Count Day;6977,951212;437,2831809;7415,234393;15986486,23;1001815,767;16988301,99;1;1;1;1;0;302,7464014;4778,822947;134,5367795;2199,128265;5081,569348;2333,665044;0
AZ;2018-2019;4348;90769;American Leadership Academy, Inc.;American Leadership Academy - Queen Creek;0400112;040011203179;2238; KG-12;4;2238;October Count Day;7630,26541;131,7987926;7762,064202;17076533,99;294965,6978;17371499,68;1;1;1;1;0;130,8322062;5388,616067;0,966586404;2241,649342;5519,448273;2242,615929;0
AZ;2018-2019;4348;92348;American Leadership Academy, Inc.;American Leadership Academy Anthem South Campus;0400112;040011203365;388; KG-06;2;388;October Count Day;9286,423997;920,4940018;10206,918;3603132,511;357151,6727;3960284,183;1;1;1;1;0;536,2851613;5754,219831;384,2088405;3532,204165;6290,504993;3916,413006;0
AZ;2018-2019;4348;242454;American Leadership Academy, Inc.;American Leadership Academy Signal Butte;0400112;040011203570;288; KG-06;2;288;October Count Day;9887,028244;779,7352432;10666,76349;2847464,134;224563,75;3072027,884;1;1;1;1;0;502,3442456;7009,132085;277,3909976;2877,896159;7511,47633;3155,287156;0
AZ;2018-2019;4348;509281;American Leadership Academy, Inc.;American Leadership Academy, Gilbert;0400112;040011203573;2379; KG-12;4;2379;October Count Day;6804,448161;58,08091385;6862,529075;16187782,17;138174,494;16325956,67;1;1;1;1;0;57,01601685;4655,215956;1,064897001;2149,232205;4712,231973;2150,297102;0
AZ;2018-2019;4348;865358;American Leadership Academy, Inc.;American Leadership Academy, Higley;0400112;040011203576;194; KG-06;2;194;October Count Day;14479,08833;63,05597404;14542,14431;2808943,137;12232,85896;2821175,996;1;1;1;1;0;24,01607113;9202,288938;39,03990291;5276,799397;9226,305009;5315,8393;0
AZ;2018-2019;79461;81178;American Virtual Academy;Primavera - Online;0400329;040032903159;4617; 06-12;4;4618;October Count Day;7310,169488;0;7310,169488;33758362,69;0;33758362,69;1;1;1;1;0;0;7107,698258;0;202,4712302;7107,698258;202,4712302;0
AZ;2018-2019;4406;91755;Amphitheater Unified District;Amphi Academy Online;0400680;040068003330;43; KG-12;4;43;October Count Day;11477,71769;103,2587732;11580,97646;493541,8605;4440,127246;497981,9878;1;1;1;1;0;54,02844488;8680,227147;49,23032827;2797,490539;8734,255592;2846,720868;0
AZ;2018-2019;4406;6055;Amphitheater Unified District;Amphitheater High School;0400680;040068000032;1293; 09-12;4;1293;October Count Day;8494,060397;558,5836265;9052,644023;10982820,09;722248,6291;11705068,72;1;1;1;1;0;400,6507611;6834,834221;157,9328654;1659,226176;7235,484982;1817,159041;0
AZ;2018-2019;4406;5805;Amphitheater Unified District;Amphitheater Middle School;0400680;040068000020;780; 06-08;3;780;October Count Day;7789,620991;867,6840218;8657,305013;6075904,373;676793,537;6752697,91;1;1;1;1;0;615,2818553;6291,565576;252,4021664;1498,055415;6906,847431;1750,457582;0
AZ;2018-2019;4406;5808;Amphitheater Unified District;Canyon Del Oro High School;0400680;040068000033;1555; 09-12;4;1554;October Count Day;7945,872656;155,7597549;8101,632411;12347886,11;242050,6591;12589936,77;1;1;1;1;0;64,52038138;6176,133107;91,23937351;1769,739549;6240,653489;1860,978923;0
AZ;2018-2019;4406;5802;Amphitheater Unified District;Copper Creek Elementary School-Amphitheater Unified District;0400680;040068001394;398; PK-05;2;398;October Count Day;8927,223989;413,057292;9340,281281;3553035,148;164396,8022;3717431,95;1;1;1;1;0;363,8269638;7385,909021;49,23032827;1541,314968;7749,735985;1590,545296;0
AZ;2018-2019;4406;5799;Amphitheater Unified District;Coronado K-8 School;0400680;040068000021;813; KG-08;3;813;October Count Day;7560,989163;692,0136915;8253,002855;6147084,19;562607,1312;6709691,321;1;1;1;1;0;622,7923726;6074,5039;69,22131898;1486,485263;6697,296273;1555,706582;0
AZ;2018-2019;4406;5796;Amphitheater Unified District;E C Nash School;0400680;040068000023;381; KG-05;2;381;October Count Day;8679,386992;1554,685719;10234,07271;3306846,444;592335,2591;3899181,703;1;1;1;1;0;1265,156448;7193,834697;289,5292711;1485,552295;8458,991145;1775,081566;0
AZ;2018-2019;4406;5794;Amphitheater Unified District;Frances Owen Holaway Elementary School;0400680;040068000025;385; PK-05;2;385;October Count Day;8773,351966;1456,963677;10230,31564;3377740,507;560931,0156;3938671,522;1;1;1;1;0;1284,827754;7242,663612;172,1359229;1530,688354;8527,491366;1702,824277;0
AZ;2018-2019;4406;5795;Amphitheater Unified District;Helen Keeling Elementary School;0400680;040068000026;391; KG-05;2;391;October Count Day;7907,772582;1329,745365;9237,517947;3091939,08;519930,4376;3611869,517;1;1;1;1;0;1079,056225;6430,429494;250,68914;1477,343088;7509,485719;1728,032228;0
AZ;2018-2019;4406;79378;Amphitheater Unified District;Ironwood Ridge High School;0400680;040068002198;1830; 09-12;4;1831;October Count Day;7274,449103;137,1461778;7411,595281;13319516,31;251114,6516;13570630,96;1;1;1;1;0;59,2328328;5640,601115;77,91334503;1633,847988;5699,833948;1711,761333;0
