state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_OH;enrollmetric;pp_stloc_raw_OH;pp_fed_raw_OH;pp_total_raw_OH;pp_site_stloc_raw_OH;pp_site_fed_raw_OH;pp_site_raw_OH;pp_centshare_stloc_raw_OH;pp_centshare_fed_raw_OH;pp_centshare_raw_OH;schoolstloc_raw_OH;schoolfed_raw_OH;schooltot_raw_OH;countenroll;noaudit;nositecen;adfinvars;distflex;pp_weightedenroll_raw_OH;site_total_fed_raw_OH;site_total_stloc_raw_OH;pp_centshare_total_operational_OH;pp_site_fed_operational_OH;pp_site_stloc_operational_OH;pp_site_total_operational_OH;pp_total_operational_OH;schooltot_operational_OH;flag_NERDS
OH;2018-2019;000560;000560;Apex Academy;Apex Academy;3900309;390030904846;518; KG-08;3;NA;Weighted Enrollment;NA;NA;NA;9314,1;960,1;10274,2;NA;NA;NA;NA;NA;NA;0;0;0;0;0;656,4406524;630252;6114184;NA;NA;NA;NA;NA;NA;1
OH;2018-2019;047415;000885;Arcadia Local;Arcadia Elementary School;3910002;391000202887;286; KG-06;2;288,156408;Weighted Enrollment;NA;NA;10954,70271;9799,8;295;10094,8;NA;NA;859,9027091;NA;NA;3156667,783;0;0;0;0;0;322,9330563;95259,74;3164684,5;963,6815365;330,5834517;10982,52342;11313,10687;12173,00958;3507730,716;0
OH;2018-2019;047415;000893;Arcadia Local;Arcadia High School;3910002;391000202888;213; 09-12;4;177,853751;Weighted Enrollment;NA;NA;12500,68139;11306,9;305,9;11612,8;NA;NA;887,8813894;NA;NA;2223293,075;0;0;0;0;0;193,0310085;59040,52;2182580,55;963,6492851;331,9610616;12271,77126;12603,73232;13491,61371;2399534,106;0
OH;2018-2019;047415;000699;Arcadia Local;Arcadia Middle School;3910002;391000205134;93; 07-08;3;94,344262;Weighted Enrollment;NA;NA;7720,251873;6531,6;306;6837,6;NA;NA;882,6518734;NA;NA;728361,4654;0;0;0;0;0;102,9993509;31517,69;672747,29;963,6258536;334,0710853;7130,770603;7464,841688;8347,493561;787538,1196;0
OH;2018-2019;046631;000901;Arcanum-Butler Local;Arcanum Elementary School;3904663;390466302613;475; PK-04;2;470,766749;Weighted Enrollment;NA;NA;8489,539821;5320,2;148,4;5468,6;NA;NA;3020,939821;NA;NA;3996593,062;0;0;0;0;0;524,8810119;77895,19;2792460,03;3368,194447;165,4645112;5931,727413;6097,191924;9118,131745;4292513,238;0
OH;2018-2019;046631;000919;Arcanum-Butler Local;Arcanum High School;3904663;390466302614;387; 09-12;4;294,434941;Weighted Enrollment;NA;NA;9961,292366;6768,2;130;6898,2;NA;NA;3063,092366;NA;NA;2932952,53;0;0;0;0;0;323,7547751;42073,29;2191232,16;3368,115131;142,8950309;7442,160745;7585,055776;10648,14814;3135186,87;1
OH;2018-2019;046631;004408;Arcanum-Butler Local;Butler Middle School;3904663;390466302615;351; 05-08;3;350,08235;Weighted Enrollment;NA;NA;9431,724155;6123,4;134,6;6258;NA;NA;3173,724155;NA;NA;3301880,157;0;0;0;0;0;371,5286056;50025,53;2275026,75;3368,148409;142,8964642;6498,547413;6641,443877;9815,168033;3436117,09;0
OH;2018-2019;047043;000927;Archbold-Area Local;Archbold Elementary School;3904704;390470402756;469; KG-04;2;471,775713;Weighted Enrollment;NA;NA;9012,580559;8043,9;324,2;8368,1;NA;NA;644,4805586;NA;NA;4251916,619;0;0;0;0;0;518,3150299;168013,94;4169259,16;708,0567117;356,1309651;8837,375569;9193,506534;9837,987093;4641323,375;0
OH;2018-2019;047043;000935;Archbold-Area Local;Archbold High School;3904704;390470402757;367; 09-12;4;359,82377;Weighted Enrollment;NA;NA;10026,07462;9069,8;319,7;9389,5;NA;NA;636,5746199;NA;NA;3607619,968;0;0;0;0;0;400,2212498;127948,08;3629917,63;708,0429678;355,5854023;10088,04291;10443,62831;11080,20293;3986920,39;0
OH;2018-2019;047043;031690;Archbold-Area Local;Archbold Middle School;3904704;390470402759;378; 05-08;3;377,445327;Weighted Enrollment;NA;NA;10594,81398;9608;339,4;9947,4;NA;NA;647,4139777;NA;NA;3998963,026;0;0;0;0;0;412,8016836;140089,68;3966193,45;708,0590509;371,1522437;10507,99458;10879,14682;11526,5608;4350646,511;0
OH;2018-2019;047423;000976;Arlington Local;Arlington Local Elementary School;3904742;390474202889;290; KG-06;2;287,31136;Weighted Enrollment;NA;NA;9392,218032;8011,7;361,2;8372,9;NA;NA;1019,318032;NA;NA;2698490,936;0;0;0;0;0;316,9758014;114484,29;2539500,41;1124,560999;398,4676763;8838,844416;9237,312092;10256,63012;2946846,35;0
OH;2018-2019;047423;000992;Arlington Local;Arlington Local High School;3904742;390474202890;284; 07-12;4;264,96534;Weighted Enrollment;NA;NA;10291,86154;9017,2;329,3;9346,5;NA;NA;945,3615434;NA;NA;2726986,593;0;0;0;0;0;315,1982139;103806,24;2842209,3;1124,585842;391,7729013;10726,72109;11118,49399;12063,85553;3196503,583;0
OH;2018-2019;143610;143610;Arts & College Preparatory Academy;Arts & College Preparatory Academy;3900223;390022304747;399; 07-12;4;NA;Weighted Enrollment;NA;NA;NA;5730,3;617;6347,3;NA;NA;NA;NA;NA;NA;0;0;0;0;0;447,4555844;276092,78;2564033,61;NA;NA;NA;NA;NA;NA;1
OH;2018-2019;043505;001081;Ashland City;Ashland High School;3904350;390435000075;875; 09-12;4;854,283253;Weighted Enrollment;NA;NA;10417,32229;9389;310,3;9699,3;NA;NA;718,0222941;NA;NA;8899343,977;0;0;0;0;0;950,923092;295074,64;8928197,78;799,2477643;345,4060921;10451,09775;10796,50384;11514,52613;9836666,841;0
