state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_ND;enrollmetric;pp_stloc_raw_ND;pp_fed_raw_ND;pp_total_raw_ND;schoolstloc_raw_ND;schoolfed_raw_ND;schooltot_raw_ND;countenroll;noaudit;nositecen;adfinvars;distflex;flag_NERDS
ND;2018-2019;05001;10333;Bottineau Public School District;Bottineau Junior-Senior High School;3803060;380306000068;279; 07-12;4;279;September Count;13407,06;1369,63;14776,69;3740569,74;382126,77;4122696,51;1;0;1;0;0;0
ND;2018-2019;07014;10371;Bowbells Public School District;Bowbells Elementary School;3803090;380309000069;53; PK-06;2;52;September Count;16810,32;626,4;17436,72;874136,64;32572,8;906709,44;1;0;1;0;0;0
ND;2018-2019;07014;10373;Bowbells Public School District;Bowbells High School;3803090;380309000070;26; 07-12;4;26;September Count;16810,32;626,4;17436,72;437068,32;16286,4;453354,72;1;0;1;0;0;0
ND;2018-2019;06001;10431;Bowman Co Public School District;Bowman Co Elementary School;3803200;380320000074;234; PK-06;2;225;September Count;13218,4;233,55;13451,96;2974140;52548,75;3026691;1;0;1;0;0;0
ND;2018-2019;06001;10433;Bowman Co Public School District;Bowman Co High School;3803200;380320000075;203; 07-12;4;203;September Count;13218,4;233,55;13451,96;2683335,2;47410,65;2730747,88;1;0;1;0;0;0
ND;2018-2019;06001;74211;Bowman Co Public School District;Rhame Elementary School;3803200;380320000548;43; KG-06;2;43;September Count;12827,71;220,34;13048,06;551591,53;9474,62;561066,58;1;0;1;0;0;0
ND;2018-2019;07036;52621;Burke Central Public School District;Burke Central Elementary School;3803590;380359000080;46; PK-06;2;43;September Count;21858,65;1244,28;23102,93;939921,95;53504,04;993425,99;1;0;1;0;0;0
ND;2018-2019;07036;52623;Burke Central Public School District;Burke Central High School;3803590;380359000082;39; 07-12;4;39;September Count;21858,65;1244,28;23102,93;852487,35;48526,92;901014,27;1;0;1;0;0;0
ND;2018-2019;16049;13031;Carrington Public School District;Carrington Elementary School;3800053;380005300087;270; PK-06;2;263;September Count;9787,21;508,19;10295,4;2574036,23;133653,97;2707690,2;1;0;1;0;0;0
ND;2018-2019;16049;13043;Carrington Public School District;Carrington High School;3800053;380005300088;230; 07-12;4;230;September Count;11173,56;66,29;11239,84;2569918,8;15246,7;2585163,2;1;0;1;0;0;0
ND;2018-2019;34006;13231;Cavalier Public School District;Cavalier Elementary School;3800018;380001800094;223; PK-05;2;188;September Count;9307,21;247,72;9554,93;1749755,48;46571,36;1796326,84;1;0;1;0;0;0
ND;2018-2019;34006;13233;Cavalier Public School District;Cavalier High School;3800018;380001800089;213; 06-12;4;213;September Count;9307,21;247,72;9554,93;1982435,73;52764,36;2035200,09;1;0;1;0;0;0
ND;2018-2019;33001;13501;Center-Stanton Public School District;Center-Stanton Elementary School;3800052;380005200096;142; PK-06;2;124;September Count;12041,32;822,2;12863,53;1493123,68;101952,8;1595077,72;1;0;1;0;0;0
ND;2018-2019;33001;13503;Center-Stanton Public School District;Center-Stanton High School;3800052;380005200097;104; 07-12;4;104;September Count;12041,32;822,2;12863,53;1252297,28;85508,8;1337807,12;1;0;1;0;0;0
ND;2018-2019;09017;13541;Central Cass Public School District;Central Cass Elementary School;3804090;380409000099;467; PK-05;2;455;September Count;8523,81;207,46;8731,26;3878333,55;94394,3;3972723,3;1;0;1;0;0;0
ND;2018-2019;09017;13543;Central Cass Public School District;Central Cass High School;3804090;380409000100;246; 09-12;4;246;September Count;8523,81;207,46;8731,26;2096857,26;51035,16;2147889,96;1;0;1;0;0;0
ND;2018-2019;09017;13542;Central Cass Public School District;Central Cass Middle School;3804090;380409000163;227; 06-08;3;227;September Count;8523,81;207,46;8731,26;1934904,87;47093,42;1981996,02;1;0;1;0;0;0
ND;2018-2019;49003;13691;Central Valley Public School District;Central Valley Elementary School;3804140;380414000103;129; PK-06;2;111;September Count;11384,92;304,37;11689,28;1263726,12;33785,07;1297510,08;1;0;1;0;0;0
ND;2018-2019;49003;13693;Central Valley Public School District;Central Valley High School;3804140;380414000104;77; 07-12;4;77;September Count;11384,92;304,37;11689,28;876638,84;23436,49;900074,56;1;0;1;0;0;0
ND;2018-2019;32001;56411;Dakota Prairie Public School District;Dakota Prairie Elementary School;3800040;380004000416;164; PK-06;2;135;September Count;12016,28;1031,11;13047,4;1622197,8;139199,85;1761399;1;0;1;0;0;0
ND;2018-2019;32001;88263;Dakota Prairie Public School District;Dakota Prairie High School;3800040;380004000649;132; 07-12;4;132;September Count;14024,81;0;14024,81;1851274,92;0;1851274,92;1;0;1;0;0;0
ND;2018-2019;36001;18332;Devils Lake Public School District;Central Middle School;3805040;380504000127;525; 05-08;3;525;September Count;10113,95;489,89;10603,84;5309823,75;257192,25;5567016;1;0;1;0;0;0
ND;2018-2019;36001;18293;Devils Lake Public School District;Devils Lake High School;3805040;380504000126;479; 09-12;4;479;September Count;12752,39;880,62;13633;6108394,81;421816,98;6530207;1;0;1;0;0;0
ND;2018-2019;36001;57431;Devils Lake Public School District;Minnie H Kindergarten Center;3805040;380504000128;182; PK-KG;1;140;September Count;8488,35;1080,72;9569,06;1188369;151300,8;1339668,4;1;0;1;0;0;1
ND;2018-2019;36001;71781;Devils Lake Public School District;Prairie View Elementary School;3805040;380504000129;272; 01-04;2;272;September Count;10262,6;2229,01;12491,61;2791427,2;606290,72;3397717,92;1;0;1;0;0;0
ND;2018-2019;36001;82801;Devils Lake Public School District;Sweetwater Elementary School;3805040;380504000130;252; 01-04;2;252;September Count;9911,01;1873,99;11785;2497574,52;472245,48;2969820;1;0;1;0;0;0
ND;2018-2019;45001;18453;Dickinson Public School District;Dickinson High School;3800038;380003800132;1006; 09-12;4;1006;September Count;10538,32;409,04;10947,36;10601549,92;411494,24;11013044,16;1;0;1;0;0;0
ND;2018-2019;45001;18482;Dickinson Public School District;Dickinson Middle School;3800038;380003800887;846; 06-08;3;846;September Count;10405,75;545,35;10951,11;8803264,5;461366,1;9264639,06;1;0;1;0;0;0
ND;2018-2019;45001;31601;Dickinson Public School District;Heart River Elementary School;3800038;380003800742;263; KG-05;2;263;September Count;10711,09;1043,33;11754,42;2817016,67;274395,79;3091412,46;1;0;1;0;0;0
ND;2018-2019;45001;46001;Dickinson Public School District;Jefferson Elementary School;3800038;380003800134;354; KG-05;2;354;September Count;9760,91;321,41;10082,31;3455362,14;113779,14;3569137,74;1;0;1;0;0;0
ND;2018-2019;45001;52821;Dickinson Public School District;Lincoln Elementary School;3800038;380003800135;357; KG-05;2;357;September Count;10337,44;321,41;10658,85;3690466,08;114743,37;3805209,45;1;0;1;0;0;0
ND;2018-2019;45001;71801;Dickinson Public School District;P S Berg Elementary School;3800038;380003800895;180; KG-05;2;180;September Count;12622,9;321,41;12944,3;2272122;57853,8;2329974;1;0;1;0;0;0
ND;2018-2019;45001;71731;Dickinson Public School District;Prairie Rose Elementary School;3800038;380003800869;440; KG-05;2;440;September Count;9685,74;859,53;10545,26;4261725,6;378193,2;4639914,4;1;0;1;0;0;0
ND;2018-2019;45001;75741;Dickinson Public School District;Roosevelt Elementary School;3800038;380003800137;287; KG-05;2;287;September Count;9834,14;905,41;10739,55;2822398,18;259852,67;3082250,85;1;0;1;0;0;0
ND;2018-2019;45001;18443;Dickinson Public School District;Southwest Community High School;3800038;380003800156;26; 09-12;4;26;September Count;12914,12;321,41;13235,53;335767,12;8356,66;344123,78;1;0;1;0;0;0
ND;2018-2019;12001;18601;Divide County Public School District;Divide County Elementary School;3805160;380516000139;193; PK-06;2;191;September Count;13364,1;972,7;14336,8;2552543,1;185785,7;2738328,8;1;0;1;0;0;0
ND;2018-2019;12001;18663;Divide County Public School District;Divide County High School;3805160;380516000140;165; 07-12;4;165;September Count;15123,96;0;15123,96;2495453,4;0;2495453,4;1;0;1;0;0;0
ND;2018-2019;25057;19253;Drake Public School District;Drake High School;3800029;380002900149;80; 07-12;4;80;September Count;16037,05;209,47;16246,52;1282964;16757,6;1299721,6;1;0;1;0;0;0
ND;2018-2019;34019;19281;Drayton Public School District;Drayton Elementary School;3805340;380534000150;149; PK-08;3;132;September Count;13459,53;846,55;14306,08;1776657,96;111744,6;1888402,56;1;0;1;0;0;0
ND;2018-2019;34019;19283;Drayton Public School District;Drayton High School;3805340;380534000151;35; 09-12;4;35;September Count;13459,53;846,55;14306,08;471083,55;29629,25;500712,8;1;0;1;0;0;0
ND;2018-2019;40001;19681;Dunseith Public School District;Dunseith Elementary School;3805460;380546000155;273; PK-06;2;247;September Count;10710,03;3842,07;14552,1;2645377,41;948991,29;3594368,7;1;0;1;0;0;0
ND;2018-2019;40001;19663;Dunseith Public School District;Dunseith High School;3805460;380546000157;249; 07-12;4;249;September Count;11787,58;2829,88;14617,45;2935107,42;704640,12;3639745,05;1;0;1;0;0;0
ND;2018-2019;27018;81061;Earl Public School District;Squaw Gap School;3805670;380567000826;0; KG-08;3;NA;September Count;0;0;0;NA;NA;NA;1;0;1;0;0;1
ND;2018-2019;23003;21071;Edgeley Public School District;Edgeley Elementary School;3805850;380585000093;115; PK-06;2;103;September Count;10499,05;436,76;10935,81;1081402,15;44986,28;1126388,43;1;0;1;0;0;0
ND;2018-2019;23003;21073;Edgeley Public School District;Edgeley High School;3805850;380585000166;113; 07-12;4;113;September Count;10499,05;436,76;10935,81;1186392,65;49353,88;1235746,53;1;0;1;0;0;0
ND;2018-2019;23003;21061;Edgeley Public School District;Willow Bank Colony School;3805850;380585000729;28; KG-08;3;28;September Count;9236,69;436,76;9673,45;258627,32;12229,28;270856,6;1;0;1;0;0;0
ND;2018-2019;36002;21131;Edmore Public School District;Edmore Elementary School;3805950;380595000868;34; PK-08;3;32;September Count;28084,55;307,48;28392,03;898705,6;9839,36;908544,96;1;0;1;0;0;0
ND;2018-2019;36002;21133;Edmore Public School District;Edmore High School;3805950;380595000170;16; 09-12;4;16;September Count;28084,55;307,48;28392,03;449352,8;4919,68;454272,48;1;0;1;0;0;0
ND;2018-2019;53006;22701;Eight Mile Public School District;Eight Mile Elementary School;3806010;380601000171;203; KG-08;3;201;September Count;11403,62;639,38;12043;2292127,62;128515,38;2420643;1;0;1;0;0;0
ND;2018-2019;53006;22703;Eight Mile Public School District;Eight Mile High School;3806010;380601000172;101; 09-12;4;101;September Count;11403,62;639,38;12043;1151765,62;64577,38;1216343;1;0;1;0;0;0
ND;2018-2019;19049;23281;Elgin-New Leipzig Public School District;Elgin-New Leipzig Elementary School;3800045;380004500174;85; PK-06;2;85;September Count;14867,81;657,03;15524,84;1263763,85;55847,55;1319611,4;1;0;1;0;0;0
ND;2018-2019;19049;23283;Elgin-New Leipzig Public School District;Elgin-New Leipzig High School;3800045;380004500175;74; 07-12;4;74;September Count;14867,81;657,03;15524,84;1100217,94;48620,22;1148838,16;1;0;1;0;0;0
ND;2018-2019;11040;23331;Ellendale Public School District;Ellendale Elementary School;3806090;380609000177;210; PK-08;3;206;September Count;9616,39;456,75;10073,14;1980976,34;94090,5;2075066,84;1;0;1;0;0;0
ND;2018-2019;11040;23333;Ellendale Public School District;Ellendale High School;3806090;380609000178;85; 09-12;4;85;September Count;9616,39;456,75;10073,14;817393,15;38823,75;856216,9;1;0;1;0;0;0
ND;2018-2019;11040;54811;Ellendale Public School District;Maple River Colony School;3806090;380609000179;45; KG-08;3;45;September Count;7876,18;429;8305,18;354428,1;19305;373733,1;1;0;1;0;0;0
ND;2018-2019;18127;23621;Emerado Public School District;Emerado Elementary School;3806360;380636000182;126; PK-08;3;108;September Count;9453,3;2540,87;11994,17;1020956,4;274413,96;1295370,36;1;0;1;0;0;0
ND;2018-2019;37024;23871;Enderlin Area Public School District;Enderlin Area Elementary School;3800061;380006100183;174; KG-06;2;166;September Count;10835,96;430,26;11266,22;1798769,36;71423,16;1870192,52;1;0;1;0;0;0
ND;2018-2019;37024;23873;Enderlin Area Public School District;Enderlin Area High School;3800061;380006100184;128; 07-12;4;128;September Count;10835,96;430,26;11266,22;1387002,88;55073,28;1442076,16;1;0;1;0;0;0
ND;2018-2019;37024;32521;Enderlin Area Public School District;Grant Colony School;3800061;380006100884;4; KG-08;3;4;September Count;37320,47;430,26;37750,73;149281,88;1721,04;151002,92;1;0;1;0;0;0
ND;2018-2019;39018;27391;Fairmount Public School District;Fairmount Elementary School;3806690;380669000190;50; PK-06;2;48;September Count;15782,99;909,94;16692,93;757583,52;43677,12;801260,64;1;0;1;0;0;0
ND;2018-2019;39018;27393;Fairmount Public School District;Fairmount High School;3806690;380669000191;52; 07-12;4;52;September Count;15782,99;909,94;16692,93;820715,48;47316,88;868032,36;1;0;1;0;0;0
ND;2018-2019;09001;07132;Fargo Public School District;Ben Franklin Middle School;3806780;380678000193;830; 06-08;3;830;September Count;11610,32;625,91;12236,23;9636565,6;519505,3;10156070,9;1;0;1;0;0;0
ND;2018-2019;09001;08981;Fargo Public School District;Bennett Elementary School;3806780;380678000160;479; KG-05;2;479;September Count;10625,57;509,48;11135,05;5089648,03;244040,92;5333688,95;1;0;1;0;0;0
ND;2018-2019;09001;12922;Fargo Public School District;Carl Ben Eielson Middle School;3806780;380678000186;761; 06-08;3;761;September Count;12043,21;754,26;12797,48;9164882,81;573991,86;9738882,28;1;0;1;0;0;0
ND;2018-2019;09001;27891;Fargo Public School District;Centennial Elementary School;3806780;380678000823;551; KG-05;2;551;September Count;10655,83;328,23;10984,06;5871362,33;180854,73;6052217,06;1;0;1;0;0;0
ND;2018-2019;09001;14181;Fargo Public School District;Clara Barton Hawthorne Elementary School;3806780;380678000195;385; KG-05;2;385;September Count;12499,14;440,39;12939,53;4812168,9;169550,15;4981719,05;1;0;1;0;0;0
ND;2018-2019;09001;18552;Fargo Public School District;Discovery Middle School;3806780;380678000079;1044; 06-08;3;1044;September Count;10759,59;394,04;11153,62;11233011,96;411377,76;11644379,28;1;0;1;0;0;0
ND;2018-2019;09001;20801;Fargo Public School District;Eagles Elementary School;3806780;380678000881;330; KG-05;2;330;September Count;13777,81;1043,24;14821,05;4546677,3;344269,2;4890946,5;1;0;1;0;0;0
ND;2018-2019;09001;21041;Fargo Public School District;ED Clapp Elementary School;3806780;380678000873;489; KG-05;2;489;September Count;12612,41;2049,2;14661,61;6167468,49;1002058,8;7169527,29;1;0;1;0;0;0
ND;2018-2019;09001;17403;Fargo Public School District;Fargo Davies High School;3806780;380678000855;1274; 09-12;4;1274;September Count;11171,5;440,68;11612,19;14232491;561426,32;14793930,06;1;0;1;0;0;0
ND;2018-2019;09001;37331;Fargo Public School District;Horace Mann Roosevelt Elementary School;3806780;380678000198;342; KG-05;2;342;September Count;13810,73;1309,85;15120,58;4723269,66;447968,7;5171238,36;1;0;1;0;0;0
ND;2018-2019;09001;45981;Fargo Public School District;Jefferson Elementary School;3806780;380678000199;336; KG-05;2;336;September Count;12106,93;2349,96;14456,89;4067928,48;789586,56;4857515,04;1;0;1;0;0;0
ND;2018-2019;09001;48831;Fargo Public School District;Kennedy Elementary School;3806780;380678000206;518; KG-05;2;518;September Count;11903,13;498,4;12401,53;6165821,34;258171,2;6423992,54;1;0;1;0;0;0
ND;2018-2019;09001;52221;Fargo Public School District;Lewis And Clark Elementary School;3806780;380678000200;496; KG-05;2;496;September Count;11776,25;1445,7;13221,95;5841020;717067,2;6558087,2;1;0;1;0;0;0
ND;2018-2019;09001;52771;Fargo Public School District;Lincoln Elementary School;3806780;380678000201;439; KG-05;2;439;September Count;13594,8;1495,69;15090,49;5968117,2;656607,91;6624725,11;1;0;1;0;0;0
ND;2018-2019;09001;53241;Fargo Public School District;Longfellow Elementary School;3806780;380678000202;351; KG-05;2;351;September Count;12137,84;183,1;12320,94;4260381,84;64268,1;4324649,94;1;0;1;0;0;0
ND;2018-2019;09001;54351;Fargo Public School District;Madison Elementary School;3806780;380678000203;123; KG-05;2;123;September Count;18129;2195,8;20324,81;2229867;270083,4;2499951,63;1;0;1;0;0;0
ND;2018-2019;09001;56251;Fargo Public School District;McKinley Elementary School;3806780;380678000204;181; KG-05;2;181;September Count;15384,63;1648,31;17032,94;2784618,03;298344,11;3082962,14;1;0;1;0;0;0
ND;2018-2019;09001;61253;Fargo Public School District;North High School;3806780;380678000205;973; 09-12;4;973;September Count;11874,17;301,98;12176,15;11553567,41;293826,54;11847393,95;1;0;1;0;0;0
ND;2018-2019;09001;27443;Fargo Public School District;South High School;3806780;380678000208;964; 09-12;4;964;September Count;12943,17;585,04;13528,2;12477215,88;563978,56;13041184,8;1;0;1;0;0;0
ND;2018-2019;09001;92431;Fargo Public School District;Washington Elementary School;3806780;380678000210;355; KG-05;2;355;September Count;13232,66;1159,02;14391,68;4697594,3;411452,1;5109046,4;1;0;1;0;0;0
ND;2018-2019;09001;95163;Fargo Public School District;Woodrow Wilson Alternative High School;3806780;380678000211;152; 09-12;4;17;September Count;11156,59;183,1;11339,69;189662,03;3112,7;192774,73;1;0;1;0;0;1
ND;2018-2019;52025;27921;Fessenden-Bowdon Public School District;Fessenden-Bowdon Elementary School;3800049;380004900212;144; PK-08;3;128;September Count;12046,33;317,48;12363,81;1541930,24;40637,44;1582567,68;1;0;1;0;0;0
ND;2018-2019;52025;27923;Fessenden-Bowdon Public School District;Fessenden-Bowdon High School;3800049;380004900213;33; 09-12;4;33;September Count;12046,33;317,48;12363,81;397528,89;10476,84;408005,73;1;0;1;0;0;0
ND;2018-2019;46019;28271;Finley-Sharon Public School District;Finley-Sharon Elementary School;3806910;380691000743;40; PK-06;2;39;September Count;25288,77;693,58;25982,36;986262,03;27049,62;1013312,04;1;0;1;0;0;0
ND;2018-2019;46019;28273;Finley-Sharon Public School District;Finley-Sharon High School;3806910;380691000217;38; 07-12;4;38;September Count;25288,77;693,58;25982,36;960973,26;26356,04;987329,68;1;0;1;0;0;0
ND;2018-2019;30039;28541;Flasher Public School District;Flasher Elementary School;3806930;380693000218;135; PK-06;2;133;September Count;10148,16;538,04;10686,2;1349705,28;71559,32;1421264,6;1;0;1;0;0;0
ND;2018-2019;30039;28543;Flasher Public School District;Flasher High School;3806930;380693000219;98; 07-12;4;98;September Count;10148,16;538,04;10686,2;994519,68;52727,92;1047247,6;1;0;1;0;0;0
ND;2018-2019;50005;28911;Fordville-Lankin Public School District;Fordville-Lankin Elementary School;3800056;380005600224;31; PK-08;3;29;September Count;26650,98;198,59;26849,56;772878,42;5759,11;778637,24;1;0;1;0;0;0
ND;2018-2019;50005;28913;Fordville-Lankin Public School District;Fordville-Lankin High School;3800056;380005600225;10; 09-12;4;10;September Count;26650,98;198,59;26849,56;266509,8;1985,9;268495,6;1;0;1;0;0;0
ND;2018-2019;37006;28981;Ft Ransom Public School District;Fort Ransom Elementary School;3800033;380003300226;24; KG-06;2;24;September Count;15295,38;100,79;15396,17;367089,12;2418,96;369508,08;1;0;1;0;0;0
ND;2018-2019;03030;29103;Ft Totten Public School District;Four Winds Community High School;3807170;380717000227;170; 09-12;4;170;September Count;12317,08;4653,93;16971,01;2093903,6;791168,1;2885071,7;1;0;1;0;0;0
ND;2018-2019;43004;29212;Ft Yates Public School District;Fort Yates Middle School;3807200;380720000744;118; 05-08;3;118;September Count;31399,52;449,53;31849,05;3705143,36;53044,54;3758187,9;1;0;1;0;0;0
ND;2018-2019;24056;30131;Gackle-Streeter Public School District;Gackle-Streeter Elementary School;3800043;380004300230;85; PK-08;3;78;September Count;17012,12;770,67;17782,78;1326945,36;60112,26;1387056,84;1;0;1;0;0;0
ND;2018-2019;24056;30133;Gackle-Streeter Public School District;Gackle-Streeter High School;3800043;380004300231;19; 09-12;4;19;September Count;17012,12;770,67;17782,78;323230,28;14642,73;337872,82;1;0;1;0;0;0
ND;2018-2019;28051;09901;Garrison Public School District;Bob Callies Elementary School;3807590;380759000233;225; PK-06;2;186;September Count;11175,94;468,69;11644,64;2078724,84;87176,34;2165903,04;1;0;1;0;0;0
ND;2018-2019;28051;30523;Garrison Public School District;Garrison High School;3807590;380759000234;161; 07-12;4;161;September Count;12767,84;468,69;13236,53;2055622,24;75459,09;2131081,33;1;0;1;0;0;0
ND;2018-2019;30048;31651;Glen Ullin Public School District;Glen Ullin Elementary School;3807830;380783000235;90; PK-08;3;90;September Count;17440,62;444,44;17885,06;1569655,8;39999,6;1609655,4;1;0;1;0;0;0
ND;2018-2019;30048;31653;Glen Ullin Public School District;Glen Ullin High School;3807830;380783000236;39; 09-12;4;39;September Count;17440,62;444,44;17885,06;680184,18;17333,16;697517,34;1;0;1;0;0;0
ND;2018-2019;38026;31691;Glenburn Public School District;Glenburn Elementary School;3807850;380785000237;147; PK-06;2;135;September Count;13949,65;748,88;14698,53;1883202,75;101098,8;1984301,55;1;0;1;0;0;0
ND;2018-2019;38026;31693;Glenburn Public School District;Glenburn High School;3807850;380785000238;118; 07-12;4;118;September Count;13949,65;748,88;14698,53;1646058,7;88367,84;1734426,54;1;0;1;0;0;0
ND;2018-2019;42016;31991;Goodrich Public School District;Goodrich Elementary School;3807950;380795000242;15; PK-06;2;11;September Count;23432,78;1299,32;24732,1;257760,58;14292,52;272053,1;1;0;1;0;0;1
ND;2018-2019;42016;31993;Goodrich Public School District;Goodrich High School;3807950;380795000243;11; 07-12;4;11;September Count;23432,78;1299,32;24732,1;257760,58;14292,52;272053,1;1;0;1;0;0;0
ND;2018-2019;50003;13661;Grafton Public School District;Century Elementary School;3808060;380806000143;537; PK-06;2;467;September Count;7725,62;1640,19;9365,8;3607864,54;765968,73;4373828,6;1;0;1;0;0;0
ND;2018-2019;50003;32313;Grafton Public School District;Grafton High School;3808060;380806000248;268; 09-12;4;268;September Count;7593,5;1310,36;8903,86;2035058;351176,48;2386234,48;1;0;1;0;0;0
ND;2018-2019;50003;32352;Grafton Public School District;Grafton Junior High School;3808060;380806000247;122; 07-08;3;122;September Count;9939,11;1396,55;11335,66;1212571,42;170379,1;1382950,52;1;0;1;0;0;0
ND;2018-2019;18001;08961;Grand Forks Public School District;Ben Franklin Elementary School;3808130;380813000252;349; PK-05;2;347;September Count;10502,56;966,1;11468,66;3644388,32;335236,7;3979625,02;1;0;1;0;0;0
ND;2018-2019;18001;32393;Grand Forks Public School District;Central High School;3808130;380813000254;1004; 09-12;4;1004;September Count;11549,83;363,59;11913,42;11596029,32;365044,36;11961073,68;1;0;1;0;0;0
ND;2018-2019;18001;13641;Grand Forks Public School District;Century Elementary School;3808130;380813000824;456; PK-05;2;451;September Count;11335,48;921,35;12256,83;5112301,48;415528,85;5527830,33;1;0;1;0;0;0
ND;2018-2019;18001;15303;Grand Forks Public School District;Community Alternative High School;3808130;380813000755;85; 09-12;4;85;September Count;14313,72;1025,36;15339,08;1216666,2;87155,6;1303821,8;1;0;1;0;0;0
ND;2018-2019;18001;18561;Grand Forks Public School District;Discovery Elementary School;3808130;380813000874;490; PK-05;2;463;September Count;10820,92;338,63;11159,54;5010085,96;156785,69;5166867,02;1;0;1;0;0;0
ND;2018-2019;18001;44991;Grand Forks Public School District;J Nelson Kelly Elementary School;3808130;380813000255;476; PK-05;2;471;September Count;10317,56;208,58;10526,14;4859570,76;98241,18;4957811,94;1;0;1;0;0;0
ND;2018-2019;18001;51251;Grand Forks Public School District;Lake Agassiz Elementary School;3808130;380813000256;402; PK-05;2;375;September Count;12124,93;1432,58;13557,51;4546848,75;537217,5;5084066,25;1;0;1;0;0;0
ND;2018-2019;18001;52251;Grand Forks Public School District;Lewis And Clark Elementary School;3808130;380813000257;192; PK-05;2;192;September Count;13638,59;1161,38;14799,97;2618609,28;222984,96;2841594,24;1;0;1;0;0;0
ND;2018-2019;18001;59831;Grand Forks Public School District;Nathan Twining Elementary School;3808130;380813000259;206; PK-05;2;205;September Count;12750,53;217,77;12968,3;2613858,65;44642,85;2658501,5;1;0;1;0;0;0
ND;2018-2019;18001;59832;Grand Forks Public School District;Nathan Twining Middle School;3808130;380813000814;79; 06-08;3;79;September Count;12750,53;217,77;12968,3;1007291,87;17203,83;1024495,7;1;0;1;0;0;0
ND;2018-2019;18001;08921;Grand Forks Public School District;Phoenix Elementary School;3808130;380813000251;215; PK-05;2;201;September Count;14085,85;2093,95;16179,8;2831255,85;420883,95;3252139,8;1;0;1;0;0;0
ND;2018-2019;18001;73603;Grand Forks Public School District;Red River High School;3808130;380813000261;1028; 09-12;4;1028;September Count;11781,38;1249,18;13030,56;12111258,64;1284157,04;13395415,68;1;0;1;0;0;0
ND;2018-2019;18001;77712;Grand Forks Public School District;Schroeder Middle School;3808130;380813000263;480; 06-08;3;480;September Count;13953,2;210,14;14163,34;6697536;100867,2;6798403,2;1;0;1;0;0;0
ND;2018-2019;18001;80622;Grand Forks Public School District;South Middle School;3808130;380813000264;567; 06-08;3;567;September Count;12906,51;253,25;13159,76;7317991,17;143592,75;7461583,92;1;0;1;0;0;0
ND;2018-2019;18001;89752;Grand Forks Public School District;Valley Middle School;3808130;380813000265;596; 06-08;3;596;September Count;11233,26;815,48;12048,74;6695022,96;486026,08;7181049,04;1;0;1;0;0;0
ND;2018-2019;18001;90341;Grand Forks Public School District;Viking Elementary School;3808130;380813000266;333; PK-05;2;331;September Count;11000,32;897,98;11898,3;3641105,92;297231,38;3938337,3;1;0;1;0;0;0
ND;2018-2019;18001;93131;Grand Forks Public School District;West Elementary School;3808130;380813000267;120; PK-05;2;90;September Count;17224,93;1170,82;18395,75;1550243,7;105373,8;1655617,5;1;0;1;0;0;1
ND;2018-2019;18001;94061;Grand Forks Public School District;Wilder Elementary School;3808130;380813000268;170; PK-05;2;168;September Count;12499,85;828,05;13327,9;2099974,8;139112,4;2239087,2;1;0;1;0;0;0
ND;2018-2019;18001;94751;Grand Forks Public School District;Winship Elementary School;3808130;380813000269;209; PK-05;2;209;September Count;13133,54;1582,35;14715,89;2744909,86;330711,15;3075621,01;1;0;1;0;0;0
ND;2018-2019;53099;32811;Grenora Public School District;Grenora Elementary School;3808460;380846000273;100; KG-06;2;100;September Count;16386,73;237,56;16624,29;1638673;23756;1662429;1;0;1;0;0;0
ND;2018-2019;53099;32813;Grenora Public School District;Grenora High School;3808460;380846000274;79; 07-12;4;79;September Count;16386,73;237,56;16624,29;1294551,67;18767,24;1313318,91;1;0;1;0;0;0
ND;2018-2019;20018;15551;Griggs County Central Public School District;Griggs County Central Elementary School;3804560;380456000164;181; PK-08;3;174;September Count;12228,01;420,41;12648,41;2127673,74;73151,34;2200823,34;1;0;1;0;0;0
ND;2018-2019;20018;15553;Griggs County Central Public School District;Griggs County Central High School;3804560;380456000116;72; 09-12;4;72;September Count;12228,01;420,41;12648,41;880416,72;30269,52;910685,52;1;0;1;0;0;0
ND;2018-2019;13019;33901;Halliday Public School District;Halliday Elementary School;3808610;380861000277;23; KG-06;2;23;September Count;35580,61;295,91;35876,52;818354,03;6805,93;825159,96;1;0;1;0;0;0
ND;2018-2019;39008;34321;Hankinson Public School District;Hankinson Elementary School;3808710;380871000281;132; PK-06;2;126;September Count;11782,5;114,98;11897,48;1484595;14487,48;1499082,48;1;0;1;0;0;0
ND;2018-2019;39008;34323;Hankinson Public School District;Hankinson High School;3808710;380871000283;132; 07-12;4;132;September Count;11782,5;114,98;11897,48;1555290;15177,36;1570467,36;1;0;1;0;0;0
ND;2018-2019;52038;34781;Harvey Public School District;BM Hanson Elementary School;3808890;380889000287;216; PK-06;2;216;September Count;10508,84;769,95;11278,79;2269909,44;166309,2;2436218,64;1;0;1;0;0;0
ND;2018-2019;52038;34793;Harvey Public School District;Harvey High School;3808890;380889000288;175; 07-12;4;175;September Count;11979,01;10,23;11989,24;2096326,75;1790,25;2098117;1;0;1;0;0;0
ND;2018-2019;49007;35041;Hatton Eielson Public School District;Hatton Eielson Elementary School;3809000;380900000289;92; PK-06;2;91;September Count;11865,72;406,02;12271,74;1079780,52;36947,82;1116728,34;1;0;1;0;0;0
