state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_ND;enrollmetric;pp_stloc_raw_ND;pp_fed_raw_ND;pp_total_raw_ND;schoolstloc_raw_ND;schoolfed_raw_ND;schooltot_raw_ND;countenroll;noaudit;nositecen;adfinvars;distflex;flag_NERDS
ND;2018-2019;09006;94201;West Fargo Public School District;Willow Park Elementary School;3819410;381941000888;447; KG-05;2;447;September Count;11021,19;1755,74;12776,93;4926471,93;784815,78;5711287,71;1;0;1;0;0;0
ND;2018-2019;05017;93251;Westhope Public School District;Westhope Elementary School;3819470;381947000685;93; PK-06;2;97;September Count;14154,01;492,1;14646,11;1372938,97;47733,7;1420672,67;1;0;1;0;0;0
ND;2018-2019;05017;93253;Westhope Public School District;Westhope High School;3819470;381947000686;47; 07-12;4;47;September Count;14154,01;492,1;14646,11;665238,47;23128,7;688367,17;1;0;1;0;0;0
ND;2018-2019;28085;93631;White Shield Public School District;White Shield Elementary School;3819680;381968000807;NA; PK-08;3;100;September Count;12254,97;0;12254,97;1225497;0;1225497;1;0;1;0;0;0
ND;2018-2019;28085;93633;White Shield Public School District;White Shield High School;3819680;381968000808;NA; 09-12;4;45;September Count;12254,97;0;12254,97;551473,65;0;551473,65;1;0;1;0;0;0
ND;2018-2019;53008;30451;Williams County Public School District;Garden Valley Elementary School;3813760;381376000831;337; PK-02;2;218;September Count;8051,42;0;8051,42;1755209,56;0;1755209,56;1;0;1;0;0;1
ND;2018-2019;53008;57451;Williams County Public School District;Missouri Ridge Elementary School;3813760;NA;NA; NA;NA;NA;September Count;9860,31;0;9860,31;NA;NA;NA;1;0;1;0;0;0
ND;2018-2019;53008;57452;Williams County Public School District;Missouri Ridge Middle School;3813760;381376000892;156; 03-08;3;253;September Count;9860,31;0;9860,31;2494658,43;0;2494658,43;1;0;1;0;0;1
ND;2018-2019;53008;76001;Williams County Public School District;Round Prairie Elementary School;3813760;381376000482;63; KG-05;2;61;September Count;10554,97;0;10554,97;643853,17;0;643853,17;1;0;1;0;0;0
ND;2018-2019;53001;07691;Williston Public School District;Bakken Elementary School;3819880;381988000882;717; 05-06;2;717;September Count;8606,63;172,25;8778,88;6170953,71;123503,25;6294456,96;1;0;1;0;0;0
ND;2018-2019;53001;17753;Williston Public School District;Del Easton Alternative High School;3819880;381988000848;17; 09-12;4;17;September Count;16127,13;138,23;16265,35;274161,21;2349,91;276510,95;1;0;1;0;0;0
ND;2018-2019;53001;33701;Williston Public School District;Hagan Elementary School;3819880;381988000758;491; KG-04;2;491;September Count;9882,31;752,35;10634,66;4852214,21;369403,85;5221618,06;1;0;1;0;0;0
