state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_CT;enrollmetric;pp_stloc_raw_CT;pp_fed_raw_CT;pp_total_raw_CT;schoolstloc_raw_CT;schoolfed_raw_CT;schooltot_raw_CT;countenroll;noaudit;nositecen;adfinvars;distflex;site_tot_raw_CT;pp_site_private_raw_CT;pp_cent_private_raw_CT;ppsitestloc_operational_CT;ppcentstloc_operational_CT;pptotstloc_operational_CT;schoolstloc_operational_CT;schooltot_operational_CT;flag_NERDS
CT;2018-2019;1340011;1346111;Stafford School District;Stafford High School;0904290;090429000845;383; 09-12;4;384;October Count Day;19084;291;19441;7328256;111744;7440000;1;0;1;0;0;5349452;61;5;13642;5508;19150;7353600;7465344;0
CT;2018-2019;1340011;1345211;Stafford School District;Stafford Middle School;0904290;090429000061;349; 06-08;3;349;October Count Day;16798;254;17057;5862502;88646;5951148;1;0;1;0;0;4029597;0;5;11295;5508;16803;5864247;5952893;0
CT;2018-2019;1340011;1340311;Stafford School District;Staffordville School;0904290;090429000847;147; PK-01;1;147;October Count Day;17628;254;17888;2591316;37338;2628654;1;0;1;0;0;1819527;1;5;12126;5508;17634;2592198;2629536;0
CT;2018-2019;1340011;1340411;Stafford School District;West Stafford School;0904290;090429000848;144; PK-01;1;144;October Count Day;17869;2371;20403;2573136;341424;2914560;1;0;1;0;0;2144516;159;5;12525;5508;18033;2596752;2938176;0
CT;2018-2019;2820013;2826013;Stamford Academy District;Stamford Academy;0900031;090003101405;152; 09-12;4;152;October Count Day;16290;1796;21962;2476080;272992;2749072;1;0;1;0;0;2877188;1060;2818;17221;2947;20168;3065536;3338528;0
CT;2018-2019;2960013;2960113;Stamford Charter School for Excellence District;Stamford Charter School for Excellence;0900220;090022001807;339; PK-05;2;339;October Count Day;10688;502;11189;3623232;170178;3793410;1;0;1;0;0;3657418;0;0;10287;401;10688;3623232;3793410;0
CT;2018-2019;1350011;1355611;Stamford School District;Cloonan School;0904320;090432000851;632; 06-08;3;632;October Count Day;17341;281;17949;10959512;177592;11137104;1;0;1;0;0;9333406;325;1;14488;3179;17667;11165544;11343136;0
CT;2018-2019;1350011;1352011;Stamford School District;Davenport Ridge School;0904320;090432000852;626; PK-05;2;626;October Count Day;16159;659;16965;10115534;412534;10528068;1;0;1;0;0;8629116;146;1;13127;3179;16306;10207556;10620090;0
CT;2018-2019;1350011;1355311;Stamford School District;Dolan School;0904320;090432000853;604; 06-08;3;604;October Count Day;16384;396;16839;9895936;239184;10135120;1;0;1;0;0;8249509;57;1;13263;3179;16442;9930968;10170152;0
CT;2018-2019;1350011;1352211;Stamford School District;Hart School;0904320;090432000167;612; KG-05;2;612;October Count Day;16950;567;17622;10373400;347004;10720404;1;0;1;0;0;8837934;103;1;13875;3179;17054;10437048;10784052;0
CT;2018-2019;1350011;1351211;Stamford School District;Julia A. Stark School;0904320;090432000858;600; KG-05;2;600;October Count Day;16120;1333;17531;9672000;799800;10471800;1;0;1;0;0;8610373;76;1;13018;3179;16197;9718200;10518000;0
CT;2018-2019;1350011;1350511;Stamford School District;K. T. Murphy School;0904320;090432000859;501; PK-05;2;501;October Count Day;17458;642;18327;8746458;321642;9068100;1;0;1;0;0;7588575;225;1;14505;3179;17684;8859684;9181326;0
CT;2018-2019;1350011;1350611;Stamford School District;Newfield School;0904320;090432000860;524; KG-05;2;524;October Count Day;19144;975;20170;10031456;510900;10542356;1;0;1;0;0;8902695;50;1;16016;3179;19195;10058180;10569080;0
CT;2018-2019;1350011;1351811;Stamford School District;Northeast School;0904320;090432000861;618; KG-05;2;618;October Count Day;18808;728;19646;11623344;449904;12073248;1;0;1;0;0;10175413;108;1;15738;3179;18917;11690706;12140610;0
CT;2018-2019;1350011;1355811;Stamford School District;Rippowam Middle School;0904320;090432001353;751; 06-08;3;751;October Count Day;18198;624;18882;13666698;468624;14135322;1;0;1;0;0;11791690;58;1;15078;3179;18257;13711007;14179631;0
CT;2018-2019;1350011;1350811;Stamford School District;Rogers International School;0904320;090432000864;810; KG-08;3;810;October Count Day;16240;527;16818;13154400;426870;13581270;1;0;1;0;0;11046455;50;1;13112;3179;16291;13195710;13622580;0
CT;2018-2019;1350011;1350911;Stamford School District;Roxbury School;0904320;090432000865;571; PK-05;2;571;October Count Day;17771;1407;19275;10147241;803397;10950638;1;0;1;0;0;9190020;96;1;14689;3179;17868;10202628;11006025;0
CT;2018-2019;1350011;1355711;Stamford School District;Scofield Middle School;0904320;090432000009;646; 06-08;3;646;October Count Day;16560;297;16910;10697760;191862;10889622;1;0;1;0;0;8868981;51;1;13433;3179;16612;10731352;10923214;0
CT;2018-2019;1350011;1351111;Stamford School District;Springdale School;0904320;090432000866;575; KG-05;2;575;October Count Day;16156;691;16897;9289700;397325;9687025;1;0;1;0;0;7886770;48;1;13026;3179;16205;9317875;9715200;0
CT;2018-2019;1350011;1356111;Stamford School District;Stamford High School;0904320;090432000867;1743; 09-12;4;1743;October Count Day;18092;382;18552;31534356;665826;32200182;1;0;1;0;0;26792136;76;1;14990;3179;18169;31668567;32334393;0
CT;2018-2019;1350011;1352111;Stamford School District;Stillmeadow School;0904320;090432000868;636; KG-05;2;636;October Count Day;17504;584;18134;11132544;371424;11503968;1;0;1;0;0;9510418;45;1;14371;3179;17550;11161800;11533224;0
CT;2018-2019;1350011;1350711;Stamford School District;Strawberry Hill an ext. of Rogers International;0904320;090432001916;436; KG-04;2;436;October Count Day;16070;347;16460;7006520;151292;7157812;1;0;1;0;0;5789993;41;1;12933;3179;16112;7024832;7176124;0
CT;2018-2019;1350011;1356411;Stamford School District;The Academy of Information, Technology & Engineering;0904320;090432001468;638; 09-12;4;638;October Count Day;19600;404;20062;12504800;257752;12762552;1;0;1;0;0;10770163;56;1;16478;3179;19657;12541166;12798918;0
CT;2018-2019;1350011;1351911;Stamford School District;Toquam Magnet School;0904320;090432000008;637; KG-05;2;637;October Count Day;17192;594;17891;10951304;378378;11329682;1;0;1;0;0;9370245;102;1;14116;3179;17295;11016915;11395293;0
CT;2018-2019;1350011;1355511;Stamford School District;Turn of River School;0904320;090432000870;653; 06-08;3;653;October Count Day;18177;352;18584;11869581;229856;12099437;1;0;1;0;0;10058421;54;1;15053;3179;18232;11905496;12135352;0
