state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_NY;enrollmetric_raw_NY;pp_stloc_raw_NY;pp_fed_raw_NY;pp_total_raw_NY;schoolfed_raw_NY;schoolstloc_raw_NY;schooltot_raw_NY;countenroll;noaudit;nositecen;adfinvars;distflex;distenroll_raw_NY;PK_raw_NY;PKdist_raw_NY;NUM_ELL_dist_raw_NY;NUM_ELL_raw_NY;NUM_SWD_raw_NY;NUM_SWD_dist_raw_NY;pp_total_operational_NY;pp_site_fed_raw_NY;pp_site_stloc_raw_NY;pp_site_raw_NY;pp_centshare_fed_raw_NY;pp_centshare_stloc_raw_NY;pp_centshare_raw_NY;distexclu_transport_raw_NY;distexclu_chartertuition_raw_NY;distexclu_otution_raw_NY;distexclu_debtservice_raw_NY;distexclu_ototal_raw_NY;distexclu_raw_NY;pp_classroomsalary_site_raw_NY;pp_oinstructsalary_site_raw_NY;pp_instruct_benefit_site_raw_NY;pp_pd_site_raw_NY;pp_instruction_site_raw_NY;pp_adminsalary_site_raw_NY;pp_adminbenefit_site_raw_NY;pp_oadmin_site_raw_NY;pp_admin_site_raw_NY;pp_osalary_site_raw_NY;pp_obenefit_site_raw_NY;ppnonpersonnel_site_raw_NY;pp_ototal_site_raw_NY;pp_fed_TI_site_raw_NY;pp_fed_TII_site_raw_NY;pp_fed_TIII_site_raw_NY;pp_fed_TIV_site_raw_NY;pp_IDEA_site_raw_NY;pp_sped_site_op_NY;pp_ell_site_op_NY;pp_ofed_site_raw_NY;pp_pupilservice_site_raw_NY;pp_communityschools_site_raw_NY;pp_BOCES_site_raw_NY;pp_prek_site_op_NY;pp_sped_site_raw_NY;pp_ell_site_raw_NY;pp_prek_site_raw_NY;pp_sped_centshare_op_NY;pp_ell_centshare_op_NY;pp_pupilservice_centshare_raw_NY;pp_commsch_centshare_raw_NY;pp_BOSCES_centshare_raw_NY;pp_preK_centshare_op_NY;pp_sped_centshare_raw_NY;pp_ell_centshare_raw_NY;pp_preK_centshare_raw_NY;ppclassrmslry_centshare_raw_NY;pp_oinstslry_centshare_raw_NY;pp_instbnfit_centshare_raw_NY;pp_pd_centshare_raw_NY;pp_instruction_centshare_raw_NY;pp_adminsalary_centshare_raw_NY;pp_adminbenefit_centshare_raw_NY;pp_oadmin_centshare_raw_NY;pp_admin_centshare_raw_NY;pp_osalary_centshare_raw_NY;pp_obenefit_centshare_raw_NY;ppnonpersonnel_centshare_raw_NY;pp_ototal_centshare_raw_NY;disttotwexclu_raw_NY;charterauthorizer_raw_NY;flag_NERDS
NY;2018-2019;58050403;0001;SAYVILLE UNION FREE SCHOOL DISTRICT;CHERRY AVENUE ELEMENTARY SCHOOL;3625920;362592003554;417;KG- 05;2;417;October Count Day;24625,03125;174,3402405;24799,37109;72699,88281;10268638;10341338;1;0;0;1;0;2878;0;0;11;0;37;368;24799,37109;124,8968811;16260,36719;16385,26367;49,44336319;8364,663086;8414,106445;3729136;0;787772;4676536;8728385;17921829;9044,383789;700,7601929;3368,067139;21,09832191;13134,30957;766,4772339;264,9064636;77,25419617;1108,637939;864,25177;298,6978455;979,3668823;2142,31665;0;28,00479698;0;0;96,89208984;1906,757813;0;0;751,9640503;0;193,3141479;0;21489,67578;NA;NA;271,0534973;0;245,5114594;0;713,7883911;0;2119,815186;0;NA;46,91765213;527,4642334;198,5149384;40,20083237;813,0976563;2371,922607;819,7713623;5,105628967;3196,799561;70,26685333;1713,045898;2620,895996;4404,208984;114232752;NA;0
NY;2018-2019;58050403;0006;SAYVILLE UNION FREE SCHOOL DISTRICT;LINCOLN AVENUE ELEMENTARY SCHOOL;3625920;362592003556;405;KG- 05;2;405;October Count Day;26356,05469;347,4828796;26703,53711;140730,5625;10674202;10814933;1;0;0;1;0;2878;0;0;11;7;52;368;26703,53711;298,0395203;17991,39063;18289,42969;49,44336319;8364,663086;8414,106445;3729136;0;787772;4676536;8728385;17921829;9267,405273;709,064209;3448,014893;21,72345734;13446,20703;807,3778076;279,0419617;63,36790085;1149,787598;1961,61731;677,9629517;1053,85437;3693,43457;198,2765503;0;0;0;99,76296234;3908,073975;0;0;816,5777588;0;199,0419769;0;30437,88477;0;NA;271,0534973;0;245,5114594;0;713,7883911;0;2119,815186;0;NA;46,91765213;527,4642334;198,5149384;40,20083237;813,0976563;2371,922607;819,7713623;5,105628967;3196,799561;70,26685333;1713,045898;2620,895996;4404,208984;114232752;NA;0
NY;2018-2019;58050403;0004;SAYVILLE UNION FREE SCHOOL DISTRICT;SAYVILLE HIGH SCHOOL;3625920;362592003557;977;09- 12;4;977;October Count Day;27845,46484;283,1178894;28128,58203;276606,1563;27205020;27481624;1;0;0;1;0;2878;0;0;11;1;137;368;28128,58203;233,6745148;19480,80273;19714,47656;49,44336319;8364,663086;8414,106445;3729136;0;787772;4676536;8728385;17921829;10439,94238;1439,213867;4105,612305;21,86898613;16006,6377;1128,769653;390,119751;100,1545563;1619,044067;735,5250854;254,2088013;1099,061401;2088,79541;0;0;0;10,23541451;223,4391022;2272,052246;0;0;1755,331665;0;200,3807526;0;16202,88281;0;NA;271,0534973;0;245,5114594;0;713,7883911;0;2119,815186;0;NA;46,91765213;527,4642334;198,5149384;40,20083237;813,0976563;2371,922607;819,7713623;5,105628967;3196,799561;70,26685333;1713,045898;2620,895996;4404,208984;114232752;NA;0
NY;2018-2019;58050403;0005;SAYVILLE UNION FREE SCHOOL DISTRICT;SAYVILLE MIDDLE SCHOOL;3625920;362592003558;708;06- 08;3;708;October Count Day;27469,60156;318,6368713;27788,23828;225594,9063;19448478;19674072;1;0;0;1;0;2878;0;0;11;3;87;368;27788,23828;269,193512;19104,9375;19374,13086;49,44336319;8364,663086;8414,106445;3729136;0;787772;4676536;8728385;17921829;10537,57813;1251,583374;4074,508545;22,1892662;15885,8584;776,022583;268,2048035;90,79519653;1135,022583;929,9689331;321,4110107;1101,870117;2353,25;0;26,61299515;0;0;242,5805054;3056,878418;0;0;1607,766968;0;203,3192139;0;24876,66602;0;NA;271,0534973;0;245,5114594;0;713,7883911;0;2119,815186;0;NA;46,91765213;527,4642334;198,5149384;40,20083237;813,0976563;2371,922607;819,7713623;5,105628967;3196,799561;70,26685333;1713,045898;2620,895996;4404,208984;114232752;NA;0
NY;2018-2019;58050403;0003;SAYVILLE UNION FREE SCHOOL DISTRICT;SUNRISE DRIVE ELEMENTARY SCHOOL;3625920;362592003559;371;KG- 05;2;371;October Count Day;26817,875;344,1872864;27162,0625;127693,4844;9949432;10077125;1;0;0;1;0;2878;0;0;11;0;55;368;27162,0625;294,743927;18453,21289;18747,95703;49,44336319;8364,663086;8414,106445;3729136;0;787772;4676536;8728385;17921829;9900,422852;748,0296631;3680,261475;22,01886749;14350,7334;799,0700684;276,1697998;82,30458069;1157,544434;1616,458252;558,6711426;1064,549805;3239,679199;0;0;0;0;294,743927;3533,191406;0;0;1007,835571;0;201,7628021;0;23832,98242;NA;NA;271,0534973;0;245,5114594;0;713,7883911;0;2119,815186;0;NA;46,91765213;527,4642334;198,5149384;40,20083237;813,0976563;2371,922607;819,7713623;5,105628967;3196,799561;70,26685333;1713,045898;2620,895996;4404,208984;114232752;NA;0
NY;2018-2019;66200103;0001;SCARSDALE UNION FREE SCHOOL DISTRICT;EDGEWOOD SCHOOL;3625950;362595003560;395;KG- 05;2;395;October Count Day;29537,37891;200,1025848;29737,48242;79040,52344;11667264;11746306;1;0;0;1;0;4722;0;0;80;16;35;488;29737,48242;184,646637;20256,45898;20441,10547;15,45595074;9280,918945;9296,375;4903335;0;1043597;10027015;13104992;29078939;10876,10352;533,2338257;3785,761963;0;15195,09961;1310,94812;434,9898682;124,1746063;1870,112671;1977,185791;656,0557251;742,6511841;3375,892578;0;6,435088634;3,323316574;3,476683617;171,4115448;1651,231689;248,5766296;0;641,7235718;0;35,1830368;0;18635,32813;6136,73584;NA;1882,403687;0;1043,591309;0;466,540863;0;18214,57031;0;NA;1303,925049;625,3809814;682,9188843;265,3265686;2877,551514;1814,905396;624,124939;10,35387516;2449,384277;94,36997223;1216,700928;2658,368164;3969,439209;194327584;NA;0
NY;2018-2019;66200103;0002;SCARSDALE UNION FREE SCHOOL DISTRICT;FOX MEADOW SCHOOL;3625950;362595003561;456;KG- 05;2;456;October Count Day;28412,125;200,1026001;28612,22852;91246,78906;12955929;13047176;1;0;0;1;0;4722;0;0;80;21;27;488;28612,22852;184,6466522;19131,20508;19315,85156;15,45595074;9280,918945;9296,375;4903335;0;1043597;10027015;13104992;29078939;10550,43066;512,5750122;3670,844238;0;14733,84961;1040,573608;345,2763062;133,0397797;1518,889648;1733,033813;575,041687;755,0369873;3063,112549;0;7,344737053;2,878750086;3,011600971;171,4115601;1302,539185;248,5774841;0;605,8735352;0;35,18302536;0;21998,43945;5397,682617;NA;1882,403687;0;1043,591309;0;466,540863;0;18214,57031;0;NA;1303,925049;625,3809814;682,9188843;265,3265686;2877,551514;1814,905396;624,124939;10,35387516;2449,384277;94,36997223;1216,700928;2658,368164;3969,439209;194327584;NA;0
NY;2018-2019;66200103;0003;SCARSDALE UNION FREE SCHOOL DISTRICT;GREENACRES SCHOOL;3625950;362595003562;350;KG- 05;2;350;October Count Day;29697,78516;200,6301422;29898,41602;70220,54688;10394224;10464446;1;0;0;1;0;4722;0;0;80;8;41;488;29898,41602;185,1741943;20416,86523;20602,03906;15,45595074;9280,918945;9296,375;4903335;0;1043597;10027015;13104992;29078939;10501,72461;716,7262573;3722,422852;0;14940,87305;1383,505615;459,0657043;126,5247421;1969,096069;2210,157471;733,3571167;748,5554199;3692,070068;0;5,598599911;3,7506001;3,923685789;171,9013214;19548,80273;249,2892609;0;691,791748;0;35,28354263;0;166880,0156;10906,40527;NA;1882,403687;0;1043,591309;0;466,540863;0;18214,57031;0;NA;1303,925049;625,3809814;682,9188843;265,3265686;2877,551514;1814,905396;624,124939;10,35387516;2449,384277;94,36997223;1216,700928;2658,368164;3969,439209;194327584;NA;0
NY;2018-2019;66200103;0004;SCARSDALE UNION FREE SCHOOL DISTRICT;HEATHCOTE SCHOOL;3625950;362595003563;381;KG- 05;2;381;October Count Day;28228,66797;200,587204;28429,25586;76423,72656;10755122;10831546;1;0;0;1;0;4722;0;0;80;6;22;488;28429,25586;185,1312561;18947,74805;19132,87891;15,45595074;9280,918945;9296,375;4903335;0;1043597;10027015;13104992;29078939;10210,86816;552,0532837;3571,272949;0;14334,19434;1293,991577;429,3622131;126,5567474;1849,910522;1646,877319;546,4540405;755,4429932;2948,774414;0;6,219947338;3,44543314;3,604435682;171,8614502;984,1055908;249,22966;0;672,2692261;0;35,27537918;0;17042,91992;15826,08301;NA;1882,403687;0;1043,591309;0;466,540863;0;18214,57031;0;NA;1303,925049;625,3809814;682,9188843;265,3265686;2877,551514;1814,905396;624,124939;10,35387516;2449,384277;94,36997223;1216,700928;2658,368164;3969,439209;194327584;NA;0
NY;2018-2019;66200103;0005;SCARSDALE UNION FREE SCHOOL DISTRICT;QUAKER RIDGE SCHOOL;3625950;362595003564;485;KG- 05;2;485;October Count Day;27759,77344;200,4832916;27960,25586;97234,39844;13463491;13560724;1;0;0;1;0;4722;0;0;80;10;67;488;27960,25586;185,0273438;18478,85547;18663,88281;15,45595074;9280,918945;9296,375;4903335;0;1043597;10027015;13104992;29078939;9545,605469;437,8287354;3312,628906;0;13296,0625;1099,875732;364,9525757;122,1151352;1586,943359;2292,487061;760,6762695;727,7137451;3780,876953;0;7,724226952;2,706618547;2,831525803;171,7649689;1852,03064;249,0899963;0;593,9327393;0;35,25556564;0;13406,49023;12080,86523;NA;1882,403687;0;1043,591309;0;466,540863;0;18214,57031;0;NA;1303,925049;625,3809814;682,9188843;265,3265686;2877,551514;1814,905396;624,124939;10,35387516;2449,384277;94,36997223;1216,700928;2658,368164;3969,439209;194327584;NA;0
NY;2018-2019;66200103;0011;SCARSDALE UNION FREE SCHOOL DISTRICT;SCARSDALE MIDDLE SCHOOL;3625950;362595003565;1125;06- 08;3;1125;October Count Day;27557,76563;200,2667084;27758,0332;225300,0469;31002488;31227788;1;0;0;1;0;4722;0;0;80;10;105;488;27758,0332;184,8107605;18276,84766;18461,6582;15,45595074;9280,918945;9296,375;4903335;0;1043597;10027015;13104992;29078939;10418,66699;777,4640503;3715,017822;0;14911,14941;1028,356445;341,221344;132,252655;1501,830322;941,1121216;312,2728882;795,2935181;2048,678467;0;10,85928917;1,166853309;1,220702171;171,5639191;514,5244751;248,7987671;0;1574,974854;0;35,21430206;0;5512,762207;27989,86133;NA;1882,403687;0;1043,591309;0;466,540863;0;18214,57031;0;NA;1303,925049;625,3809814;682,9188843;265,3265686;2877,551514;1814,905396;624,124939;10,35387516;2449,384277;94,36997223;1216,700928;2658,368164;3969,439209;194327584;NA;0
NY;2018-2019;66200103;0010;SCARSDALE UNION FREE SCHOOL DISTRICT;SCARSDALE SENIOR HIGH SCHOOL;3625950;362595003566;1530;09- 12;4;1530;October Count Day;29402,32813;200,1025848;29602,43164;306156,9688;44985564;45291720;1;0;0;1;0;4722;0;0;80;9;191;488;29602,43164;184,646637;20121,41016;20306,05664;15,45595074;9280,918945;9296,375;4903335;0;1043597;10027015;13104992;29078939;10978,80371;1136,443115;4019,992188;0;16135,23926;1146,053955;380,275177;142,7039337;1669,033081;1014,280029;336,5509949;1150,953125;2501,78418;0;11,47952938;0,857980371;0,89757514;171,4115601;330,4918823;248,5776978;0;2228,80127;0;124,0653839;0;2647,395752;42258,20703;NA;1882,403687;0;1043,591309;0;466,540863;0;18214,57031;0;NA;1303,925049;625,3809814;682,9188843;265,3265686;2877,551514;1814,905396;624,124939;10,35387516;2449,384277;94,36997223;1216,700928;2658,368164;3969,439209;194327584;NA;0
NY;2018-2019;53050106;0003;SCHALMONT CENTRAL SCHOOL DISTRICT;JEFFERSON ELEMENTARY SCHOOL;3625980;362598003567;642;KG- 04;2;642;October Count Day;21928,11133;0;21928,11133;0;14077847;14077847;1;0;0;1;0;1821;0;0;9;4;79;270;21928,11133;0;10607,36719;10607,36719;0;11320,74414;11320,74414;2893252;0;485000;3380182;0;6758434;4997,410645;104,0498428;2942,212646;39,5745163;8083,248047;376,4797363;217,130661;2,523364544;596,1337891;857,0247192;494,2797852;576,6810913;1927,985596;0;0;0;0;0;1885,641357;0;0;209,9392548;0;0;0;15323,81934;0;NA;1519,924438;391,7155457;156,6873322;0;1898,645142;0;10251,0459;79257,10938;NA;2839,590576;636,6496582;2272,827393;7,031696796;5756,099121;156,1389313;80,81578827;4,211971283;241,166687;1609,052368;839,4901123;2874,935303;5323,478027;56507876;NA;1
